Date,Stock,Tail,Fallback,Reason
2019-05-29,INFY.NS,upper,False,
2019-05-29,INFY.NS,lower,False,
2019-05-29,SBIN.NS,upper,False,
2019-05-29,SBIN.NS,lower,False,
2019-06-13,INFY.NS,upper,False,
2019-06-13,INFY.NS,lower,False,
2019-06-13,SBIN.NS,upper,False,
2019-06-13,SBIN.NS,lower,False,
2019-06-27,INFY.NS,upper,False,
2019-06-27,INFY.NS,lower,False,
2019-06-27,SBIN.NS,upper,False,
2019-06-27,SBIN.NS,lower,False,
2019-07-11,INFY.NS,upper,False,
2019-07-11,INFY.NS,lower,False,
2019-07-11,SBIN.NS,upper,False,
2019-07-11,SBIN.NS,lower,False,
2019-07-25,INFY.NS,upper,False,
2019-07-25,INFY.NS,lower,False,
2019-07-25,SBIN.NS,upper,False,
2019-07-25,SBIN.NS,lower,False,
2019-08-08,INFY.NS,upper,False,
2019-08-08,INFY.NS,lower,False,
2019-08-08,SBIN.NS,upper,False,
2019-08-08,SBIN.NS,lower,False,
2019-08-26,INFY.NS,upper,True,invalid
2019-08-26,INFY.NS,lower,False,
2019-08-26,SBIN.NS,upper,False,
2019-08-26,SBIN.NS,lower,True,sparse
2019-09-11,INFY.NS,upper,True,invalid
2019-09-11,INFY.NS,lower,False,
2019-09-11,SBIN.NS,upper,False,
2019-09-11,SBIN.NS,lower,True,sparse
2019-09-25,INFY.NS,upper,False,
2019-09-25,INFY.NS,lower,False,
2019-09-25,SBIN.NS,upper,False,
2019-09-25,SBIN.NS,lower,False,
2019-10-11,INFY.NS,upper,False,
2019-10-11,INFY.NS,lower,False,
2019-10-11,SBIN.NS,upper,False,
2019-10-11,SBIN.NS,lower,False,
2019-10-27,INFY.NS,upper,True,invalid
2019-10-27,INFY.NS,lower,False,
2019-10-27,SBIN.NS,upper,False,
2019-10-27,SBIN.NS,lower,False,
2019-11-11,INFY.NS,upper,True,invalid
2019-11-11,INFY.NS,lower,False,
2019-11-11,SBIN.NS,upper,False,
2019-11-11,SBIN.NS,lower,False,
2019-11-26,INFY.NS,upper,False,
2019-11-26,INFY.NS,lower,False,
2019-11-26,SBIN.NS,upper,False,
2019-11-26,SBIN.NS,lower,False,
2019-12-10,INFY.NS,upper,False,
2019-12-10,INFY.NS,lower,False,
2019-12-10,SBIN.NS,upper,False,
2019-12-10,SBIN.NS,lower,False,
2019-12-24,INFY.NS,upper,True,sparse
2019-12-24,INFY.NS,lower,False,
2019-12-24,SBIN.NS,upper,False,
2019-12-24,SBIN.NS,lower,False,
2020-01-08,INFY.NS,upper,True,sparse
2020-01-08,INFY.NS,lower,False,
2020-01-08,SBIN.NS,upper,False,
2020-01-08,SBIN.NS,lower,False,
2020-01-22,INFY.NS,upper,True,invalid
2020-01-22,INFY.NS,lower,False,
2020-01-22,SBIN.NS,upper,False,
2020-01-22,SBIN.NS,lower,False,
2020-02-05,INFY.NS,upper,True,invalid
2020-02-05,INFY.NS,lower,False,
2020-02-05,SBIN.NS,upper,False,
2020-02-05,SBIN.NS,lower,True,invalid
2020-02-19,INFY.NS,upper,True,invalid
2020-02-19,INFY.NS,lower,False,
2020-02-19,SBIN.NS,upper,False,
2020-02-19,SBIN.NS,lower,False,
2020-03-05,INFY.NS,upper,False,
2020-03-05,INFY.NS,lower,False,
2020-03-05,SBIN.NS,upper,False,
2020-03-05,SBIN.NS,lower,True,sparse
2020-03-20,INFY.NS,upper,False,
2020-03-20,INFY.NS,lower,False,
2020-03-20,SBIN.NS,upper,False,
2020-03-20,SBIN.NS,lower,True,sparse
2020-04-07,INFY.NS,upper,False,
2020-04-07,INFY.NS,lower,False,
2020-04-07,SBIN.NS,upper,False,
2020-04-07,SBIN.NS,lower,True,sparse
2020-04-23,INFY.NS,upper,False,
2020-04-23,INFY.NS,lower,False,
2020-04-23,SBIN.NS,upper,False,
2020-04-23,SBIN.NS,lower,False,
2020-05-08,INFY.NS,upper,False,
2020-05-08,INFY.NS,lower,False,
2020-05-08,SBIN.NS,upper,False,
2020-05-08,SBIN.NS,lower,False,
2020-05-22,INFY.NS,upper,False,
2020-05-22,INFY.NS,lower,False,
2020-05-22,SBIN.NS,upper,False,
2020-05-22,SBIN.NS,lower,True,sparse
2020-06-08,INFY.NS,upper,False,
2020-06-08,INFY.NS,lower,False,
2020-06-08,SBIN.NS,upper,False,
2020-06-08,SBIN.NS,lower,True,sparse
2020-06-22,INFY.NS,upper,True,invalid
2020-06-22,INFY.NS,lower,False,
2020-06-22,SBIN.NS,upper,False,
2020-06-22,SBIN.NS,lower,True,sparse
2020-07-06,INFY.NS,upper,False,
2020-07-06,INFY.NS,lower,False,
2020-07-06,SBIN.NS,upper,False,
2020-07-06,SBIN.NS,lower,False,
2020-07-20,INFY.NS,upper,False,
2020-07-20,INFY.NS,lower,False,
2020-07-20,SBIN.NS,upper,False,
2020-07-20,SBIN.NS,lower,False,
2020-08-03,INFY.NS,upper,False,
